Country,Total
Afghanistan,1954
Algeria,171
Angola,1
Argentina,142
Australia,7603
Austria,65
Azerbaijan,4
Bahamas,4
Bahrain,295
Bangladesh,110
Belgium,148
Bolivia,8
Botswana,19
Brazil,683
Brunei,88
Bulgaria,14
Burundi,3
Cameroon,13
Canada,2800
Central African Republic,9
Chad,7
Chile,801
Colombia,1259
Congo,1
Costa Rica,2
Croatia,98
Czech Republic,153
Denmark,568
Djibouti,5
Dominican Republic,50
DR Congo,28
Ecuador,14
Egypt,6005
El Salvador,31
Equatorial Guinea,18
Estonia,15
Ethiopia,10
Finland,353
France,420
Gabon,1
Georgia,29
Germany (FRG),1355
Ghana,18
Greece,4424
Honduras,4
Hungary,83
India,3029
Indonesia,512
Iraq,4151
Ireland,6
Israel,6408
Italy,2687
Jamaica,6
Japan,6069
Jordan,678
Kazakhstan,40
Kenya,22
Kuwait,1615
Latvia,67
Lebanon,143
Libya,8
Lithuania,31
Luxembourg,1
Macedonia (FYROM),0
Malaysia,124
Malta,15
Mauritania,2
Mauritius,1
Mexico,1182
Morocco,1268
Namibia,5
Netherlands,1322
New Zealand,280
Niger,11
Nigeria,150
Norway,940
Oman,1192
Pakistan,3307
Panama,20
Paraguay,2
Peru,162
Philippines,348
Poland,2033
Portugal,622
Qatar,1690
Romania,200
Saudi Arabia,8367
Senegal,4
Serbia,0
Seychelles,1
Singapore,5238
Slovenia,1
Somalia,1
South Africa,103
South Korea,11584
South Sudan,2
Spain,1135
Sri Lanka,37
Sweden,627
Switzerland,84
Taiwan (ROC),5226
Thailand,579
Trinidad and Tobago,32
Tunisia,207
Turkey,4667
UAE,9378
Uganda,4
Ukraine,4
United Kingdom,5354
Uzbekistan,35
Venezuela,37
Yemen,36
